Categorie,Probleme,Impact_Annuel_EUR,Severite,Type
Administratif,Rapports papier CERFA manuels,45000,CRITIQUE,Perte temps
Administratif,Archivage papier chronophage,15000,IMPORTANT,Inefficacite
Commercial,Devis terrain impossibles,45000,CRITIQUE,Perte CA
Operationnel,Pas de visibilite temps reel,30000,CRITIQUE,Coordination
Communication,Rappels manuels clients,25000,IMPORTANT,Relation client
Planning,Gestion RDV manuelle,20000,IMPORTANT,Organisation
Technique,Pointage GPS inexistant,30000,CRITIQUE,Controle
Qualite,Traçabilite interventions faible,35000,CRITIQUE,Conformite
Commercial,Renouvellements rates,50000,CRITIQUE,Perte CA
Administratif,Facturation retardee,25000,IMPORTANT,Tresorerie
Operationnel,Historique client inaccessible,20000,IMPORTANT,Service
Communication,Satisfaction client non mesuree,15000,MOYEN,Qualite
