KPI,Avant,Cible Apres,Mesure
Temps generation KPI mensuels,Plusieurs jours,Quelques heures,Reduction drastique
Delai remontee info,Donnees decalees,Temps reel,Pilotage ameliore
Temps reception stocks,Comptage manuel long,Scan rapide,Gain temps majeur
Productivite BE,Surcharge chronique,Capacite respectee,Productivite amelioree
Erreurs saisie manuelle,Frequentes,Quasi nulles,Fiabilite amelioree
Nombre Excel operationnels,30+ fichiers,0 (ERP centralise),Simplification
Taux depassements budgets,Eleve,Reduit significativement,Anticipation amelioree
Delai detection anomalies,Tres tardif,Temps reel,Reactivite amelioree
Satisfaction interne,Faible (burn-out),Elevee,Bien-etre ameliore
Turnover chefs chantier,Problematique,Reduit,Retention amelioree
Heures sup Sylvie fin mois,Frequentes,Quasi nulles,Qualite vie amelioree
Surcharge BE demandes non traitees,Importante,Supprimee,Efficacite amelioree
